province,province_code,city,city_code,area,area_code,zip
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Lower Olave,PH-AGN-0-61,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Lubang,PH-AGN-0-62,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Lusong (Plateau),PH-AGN-0-63,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Mabini,PH-AGN-0-64,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Mabini,PH-AGN-0-64,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Mabutag,PH-AGN-0-65,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Macalang,PH-AGN-0-66,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Magallanes,PH-AGN-0-67,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Magkaya,PH-AGN-0-68,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Magsaysay,PH-AGN-0-69,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Malapong,PH-AGN-0-70,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Malbog,PH-AGN-0-71,4904
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Maligaya (Esperanza),PH-AGN-0-72,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Malpoc,PH-AGN-0-73,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Manapa,PH-AGN-0-74,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Manlana,PH-AGN-0-75,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Masaya,PH-AGN-0-76,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Matabao,PH-AGN-0-77,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Mclain,PH-AGN-0-78,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Merryland,PH-AGN-0-79,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Montpiller,PH-AGN-0-80,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Navalas,PH-AGN-0-81,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Nazaret,PH-AGN-0-82,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,New Poblacion (Calingao),PH-AGN-0-83,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Nueva Granada,PH-AGN-0-84,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Nueva Montana,PH-AGN-0-85,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Old Poblacion,PH-AGN-0-86,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Overland,PH-AGN-0-87,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Panghagban,PH-AGN-0-88,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Pi,PH-AGN-0-89,5044
