Code,en,zh,zh-tw,fr,de,ru,pt,es,ko,ja,ar
BH-15,Muharraq Governorate,穆哈拉克省,穆哈拉克省,Al Muḩarraq,Gouvernement Muharraq,Мухаррак,Muarraque,,,ムハッラク県,محافظة المحرق
BH-17,Northern Governorate,北方省,北方省,Ash Shamālīyah,Nördliches Gouvernement,Северная,Norte,,,北部県,المحافظة الشمالية
BH-16,Central Governorate,中部省,中部省,,,Центральная,Central,,,,
BH-13,Capital Governorate,首都省,首都省,Al Manāmah,Hauptstadtgouvernement,Столичная,Capital,,,首都県,محافظة العاصمة
BH-14,Southern Governorate,南方省,南方省,Al Janūbīyah,Südliches Gouvernement,Южная,Sul,,,南部県,المحافظة الجنوبية
