state,country,city,zip
AK,Kenai Peninsula Borough,SEWARD,99664
AK,Yukon-Koyukuk Census Area,SHAGELUK,99665
AK,Kusilvak Census Area,NUNAM IQUA,99666
AK,Matanuska-Susitna Borough,SKWENTNA,99667
AK,Bethel Census Area,SLEETMUTE,99668
AK,Aleutians East Borough,SOLDOTNA,99669
AK,Bristol Bay Borough,SOUTH NAKNEK,99670
AK,Nome Census Area,STEBBINS,99671
AK,Kenai Peninsula Borough,STERLING,99672
AK,Matanuska-Susitna Borough,CHICKALOON,99674
AK,Yukon-Koyukuk Census Area,TAKOTNA,99675
AK,Matanuska-Susitna Borough,TALKEETNA,99676
AK,Valdez-Cordova Census Area,TATITLEK,99677
AK,Dillingham Census Area,TOGIAK,99678
AK,Bethel Census Area,TULUKSAK,99679
AK,Bethel Census Area,TUNTUTULIAK,99680
AK,Bethel Census Area,TUNUNAK,99681
AK,Kenai Peninsula Borough,TYONEK,99682
AK,Matanuska-Susitna Borough,TRAPPER CREEK,99683
AK,Nome Census Area,UNALAKLEET,99684
AK,Aleutians West Census Area,UNALASKA,99685
AK,Chugach Census Area,VALDEZ,99686
AK,Matanuska-Susitna Borough,WASILLA,99687
AK,Matanuska-Susitna Borough,WILLOW,99688
AK,Yakutat City and Borough,YAKUTAT,99689
AK,Bethel Census Area,NIGHTMUTE,99690
AK,Yukon-Koyukuk Census Area,NIKOLAI,99691
AK,Aleutians West Census Area,DUTCH HARBOR,99692
AK,Valdez-Cordova Census Area,WHITTIER,99693
AK,Matanuska-Susitna Borough,HOUSTON,99694
AK,Anchorage Municipality,ANCHORAGE,99695
AK,Kodiak Island Borough,KODIAK,99697
AK,Fairbanks North Star Borough,COLDFOOT,99701
AK,Fairbanks North Star Borough,EIELSON AFB,99702
AK,Fairbanks North Star Borough,FORT WAINWRIGHT,99703
AK,Denali Borough,CLEAR,99704
AK,Fairbanks North Star Borough,NORTH POLE,99705
AK,Fairbanks North Star Borough,FAIRBANKS,99706
AK,Fairbanks North Star Borough,FAIRBANKS,99707
AK,Fairbanks North Star Borough,FAIRBANKS,99708
AK,Fairbanks North Star Borough,FAIRBANKS,99709
AK,Fairbanks North Star Borough,FAIRBANKS,99710
AK,Fairbanks North Star Borough,FAIRBANKS,99711
AK,Fairbanks North Star Borough,FAIRBANKS,99712
AK,Fairbanks North Star Borough,SALCHA,99714
AK,Fairbanks North Star Borough,TWO RIVERS,99716
AK,Yukon-Koyukuk Census Area,ALLAKAKET,99720
AK,North Slope Borough,ANAKTUVUK PASS,99721
AK,Yukon-Koyukuk Census Area,ARCTIC VILLAGE,99722
