state,country,city,zip
AK,Kenai Peninsula Borough,KENAI,99611
AK,Kenai Peninsula Borough,MOOSE PASS,99631
AK,Kenai Peninsula Borough,NIKISKI,99635
AK,Kenai Peninsula Borough,NINILCHIK,99639
AK,Kenai Peninsula Borough,SELDOVIA,99663
AK,Kenai Peninsula Borough,SEWARD,99664
AK,Kenai Peninsula Borough,STERLING,99672
AK,Kenai Peninsula Borough,TYONEK,99682
AK,Ketchikan Gateway Borough,EDNA BAY,99901
AK,Ketchikan Gateway Borough,KETCHIKAN,99950
AK,Ketchikan Gateway Borough,MEYERS CHUCK,99903
AK,Ketchikan Gateway Borough,WARD COVE,99928
AK,Kodiak Island Borough,AKHIOK,99615
AK,Kodiak Island Borough,KARLUK,99608
AK,Kodiak Island Borough,KODIAK,99619
AK,Kodiak Island Borough,KODIAK,99697
AK,Kodiak Island Borough,LARSEN BAY,99624
AK,Kodiak Island Borough,OLD HARBOR,99643
AK,Kodiak Island Borough,OUZINKIE,99644
AK,Kodiak Island Borough,PORT LIONS,99550
AK,Kusilvak Census Area,ALAKANUK,99554
AK,Kusilvak Census Area,CHEVAK,99563
AK,Kusilvak Census Area,EMMONAK,99581
AK,Kusilvak Census Area,HOOPER BAY,99604
AK,Kusilvak Census Area,KOTLIK,99620
AK,Kusilvak Census Area,MARSHALL,99585
AK,Kusilvak Census Area,MOUNTAIN VILLAGE,99632
AK,Kusilvak Census Area,NUNAM IQUA,99666
AK,Kusilvak Census Area,PILOT STATION,99650
AK,Kusilvak Census Area,RUSSIAN MISSION,99657
AK,Kusilvak Census Area,SAINT MARYS,99658
AK,Kusilvak Census Area,SCAMMON BAY,99662
AK,Lake and Peninsula Borough,CHIGNIK,99564
AK,Lake and Peninsula Borough,CHIGNIK LAGOON,99565
AK,Lake and Peninsula Borough,CHIGNIK LAKE,99548
AK,Lake and Peninsula Borough,EGEGIK,99579
AK,Lake and Peninsula Borough,ILIAMNA,99606
AK,Lake and Peninsula Borough,LEVELOCK,99625
AK,Lake and Peninsula Borough,NONDALTON,99640
AK,Lake and Peninsula Borough,PEDRO BAY,99647
AK,Lake and Peninsula Borough,PERRYVILLE,99648
AK,Lake and Peninsula Borough,PILOT POINT,99649
AK,Lake and Peninsula Borough,PORT ALSWORTH,99653
AK,Lake and Peninsula Borough,PORT HEIDEN,99549
AK,Matanuska-Susitna Borough,BIG LAKE,99652
AK,Matanuska-Susitna Borough,CHICKALOON,99674
AK,Matanuska-Susitna Borough,HOUSTON,99694
AK,Matanuska-Susitna Borough,PALMER,99645
AK,Matanuska-Susitna Borough,SKWENTNA,99667
AK,Matanuska-Susitna Borough,TALKEETNA,99676
AK,Matanuska-Susitna Borough,TRAPPER CREEK,99683
AK,Matanuska-Susitna Borough,WASILLA,99623
AK,Matanuska-Susitna Borough,WASILLA,99629
AK,Matanuska-Susitna Borough,WASILLA,99654
AK,Matanuska-Susitna Borough,WASILLA,99687
AK,Matanuska-Susitna Borough,WILLOW,99688
AK,Nome Census Area,BREVIG MISSION,99785
AK,Nome Census Area,ELIM,99739
AK,Nome Census Area,GAMBELL,99742
AK,Nome Census Area,GOLOVIN,99762
AK,Nome Census Area,KOYUK,99753
AK,Nome Census Area,SAINT MICHAEL,99659
AK,Nome Census Area,SAVOONGA,99769
AK,Nome Census Area,SHAKTOOLIK,99771
AK,Nome Census Area,SHISHMAREF,99772
AK,Nome Census Area,STEBBINS,99671
AK,Nome Census Area,TELLER,99778
AK,Nome Census Area,UNALAKLEET,99684
AK,Nome Census Area,WALES,99783
AK,Nome Census Area,WHITE MOUNTAIN,99784
AK,North Slope Borough,ANAKTUVUK PASS,99721
AK,North Slope Borough,ATQASUK,99791
AK,North Slope Borough,BARROW,99723
AK,North Slope Borough,KAKTOVIK,99747
AK,North Slope Borough,NUIQSUT,99789
AK,North Slope Borough,POINT HOPE,99766
AK,North Slope Borough,POINT LAY,99759
AK,North Slope Borough,PRUDHOE BAY,99734
AK,North Slope Borough,WAINWRIGHT,99782
AK,Northwest Arctic Borough,AMBLER,99786
AK,Northwest Arctic Borough,BUCKLAND,99727
AK,Northwest Arctic Borough,DEERING,99736
AK,Northwest Arctic Borough,KIANA,99749
AK,Northwest Arctic Borough,KIVALINA,99750
AK,Northwest Arctic Borough,KOBUK,99751
AK,Northwest Arctic Borough,KOTZEBUE,99752
AK,Northwest Arctic Borough,NOATAK,99761
AK,Northwest Arctic Borough,NOORVIK,99763
AK,Northwest Arctic Borough,SELAWIK,99770
AK,Northwest Arctic Borough,SHUNGNAK,99773
AK,Petersburg Census Area,KAKE,99830
AK,Petersburg Census Area,PETERSBURG,99833
AK,Prince of Wales-Hyder Census Area,COFFMAN COVE,99918
AK,Prince of Wales-Hyder Census Area,CRAIG,99921
AK,Prince of Wales-Hyder Census Area,HYDABURG,99922
AK,Prince of Wales-Hyder Census Area,HYDER,99923
AK,Prince of Wales-Hyder Census Area,KLAWOCK,99925
AK,Prince of Wales-Hyder Census Area,METLAKATLA,99926
AK,Prince of Wales-Hyder Census Area,POINT BAKER,99927
AK,Prince of Wales-Hyder Census Area,THORNE BAY,99919
AK,Sitka City and Borough,PORT ALEXANDER,99836
AK,Sitka City and Borough,SITKA,99835
AK,Skagway Municipality,SKAGWAY,99840
AK,Southeast Fairbanks Census Area,CHICKEN,99732
AK,Southeast Fairbanks Census Area,DELTA JUNCTION,99737
AK,Southeast Fairbanks Census Area,EAGLE,99738
AK,Southeast Fairbanks Census Area,FORT GREELY,99731
AK,Southeast Fairbanks Census Area,MENTASTA LAKE,99780
AK,Southeast Fairbanks Census Area,NORTHWAY,99764
AK,Southeast Fairbanks Census Area,TANACROSS,99776
AK,Valdez-Cordova Census Area,CHITINA,99566
AK,Valdez-Cordova Census Area,TATITLEK,99677
AK,Valdez-Cordova Census Area,WHITTIER,99693
AK,Wrangell City and Borough,WRANGELL,99929
AK,Yakutat City and Borough,YAKUTAT,99689
AK,Yukon-Koyukuk Census Area,ALLAKAKET,99720
AK,Yukon-Koyukuk Census Area,ANVIK,99558
AK,Yukon-Koyukuk Census Area,ARCTIC VILLAGE,99722
AK,Yukon-Koyukuk Census Area,BEAVER,99724
AK,Yukon-Koyukuk Census Area,BETTLES FIELD,99726
AK,Yukon-Koyukuk Census Area,CENTRAL,99730
AK,Yukon-Koyukuk Census Area,CHALKYITSIK,99788
AK,Yukon-Koyukuk Census Area,CIRCLE,99733
AK,Yukon-Koyukuk Census Area,FORT YUKON,99740
