province,province_code,city,city_code
Thanh Hóa,VN-21,Vĩnh Lộc,VN-21-24
Thanh Hóa,VN-21,Yên Định,VN-21-25
Thanh Hóa,VN-21,Đông Sơn,VN-21-26
Thái Bình,VN-20,Hưng Hà,VN-20-0
Thái Bình,VN-20,Kiến Xương,VN-20-1
Thái Bình,VN-20,Quỳnh Phụ,VN-20-2
Thái Bình,VN-20,Thái Bình,VN-20-3
Thái Bình,VN-20,Thái Thụy,VN-20-4
Thái Bình,VN-20,Tiền Hải,VN-20-5
Thái Bình,VN-20,Vũ Thư,VN-20-6
Thái Bình,VN-20,Đông Hưng,VN-20-7
Thái Nguyên,VN-69,Phổ Yên,VN-69-0
Thái Nguyên,VN-69,Phú Bình,VN-69-1
Thái Nguyên,VN-69,Phú Lương,VN-69-2
Thái Nguyên,VN-69,Sông Công,VN-69-3
Thái Nguyên,VN-69,Thái Nguyên,VN-69-4
Thái Nguyên,VN-69,Võ Nhai,VN-69-5
Thái Nguyên,VN-69,Đại Từ,VN-69-6
Thái Nguyên,VN-69,Định Hoá,VN-69-7
Thái Nguyên,VN-69,Đồng Hỷ,VN-69-8
Thừa Thiên - Huế,VN-26,A Lưới,VN-26-0
Thừa Thiên - Huế,VN-26,Huế,VN-26-1
Thừa Thiên - Huế,VN-26,Hương Thủy,VN-26-2
Thừa Thiên - Huế,VN-26,Hương Trà,VN-26-3
Thừa Thiên - Huế,VN-26,Nam Đông,VN-26-4
Thừa Thiên - Huế,VN-26,Phú Lộc,VN-26-5
Thừa Thiên - Huế,VN-26,Phú Vang,VN-26-6
Thừa Thiên - Huế,VN-26,Quảng Điền,VN-26-7
Tiền Giang,VN-46,Cai Lậy,VN-46-0
Tiền Giang,VN-46,Chợ Gạo,VN-46-1
Tiền Giang,VN-46,Cái Bè,VN-46-2
Tiền Giang,VN-46,Go Cong,VN-46-3
Tiền Giang,VN-46,Gò Công Tây,VN-46-4
Tiền Giang,VN-46,Gò Công Đông,VN-46-5
Tiền Giang,VN-46,Mỹ Tho,VN-46-6
Tiền Giang,VN-46,Tân Phú Đông,VN-46-7
Tiền Giang,VN-46,Tân Phước,VN-46-8
Trà Vinh,VN-51,Càng Long,VN-51-0
Trà Vinh,VN-51,Cầu Kè,VN-51-1
Trà Vinh,VN-51,Cầu Ngang,VN-51-2
Trà Vinh,VN-51,Duyên Hải,VN-51-3
Trà Vinh,VN-51,Tiểu Cần,VN-51-4
Trà Vinh,VN-51,Trà Cú,VN-51-5
Trà Vinh,VN-51,Trà Vinh,VN-51-6
Tuyên Quang,VN-07,Chiêm Hoá,VN-07-0
Tuyên Quang,VN-07,Hàm Yên,VN-07-1
Tuyên Quang,VN-07,Nà Hang,VN-07-2
Tuyên Quang,VN-07,Sơn Dương,VN-07-3
Tuyên Quang,VN-07,Tuyên Quang,VN-07-4
Tuyên Quang,VN-07,Yên Sơn,VN-07-5
Tây Ninh,VN-37,Bến Cầu,VN-37-0
Tây Ninh,VN-37,Châu Thành,VN-37-1
Tây Ninh,VN-37,Dương Minh Châu,VN-37-2
Tây Ninh,VN-37,Gò Dầu,VN-37-3
Tây Ninh,VN-37,Hòa Thành,VN-37-4
Tây Ninh,VN-37,Trảng Bàng,VN-37-5
Tây Ninh,VN-37,Tân Biên,VN-37-6
Tây Ninh,VN-37,Tân Châu,VN-37-7
Tây Ninh,VN-37,Tây Ninh,VN-37-8
Vĩnh Long,VN-49,Bình Minh,VN-49-0
Vĩnh Long,VN-49,Long Hồ,VN-49-1
Vĩnh Long,VN-49,Mang Thít,VN-49-2
Vĩnh Long,VN-49,Tam Bình,VN-49-3
Vĩnh Long,VN-49,Trà Ôn,VN-49-4
Vĩnh Long,VN-49,Vĩnh Long,VN-49-5
Vĩnh Long,VN-49,Vũng Liêm,VN-49-6
Vĩnh Phúc,VN-70,Bình Xuyên,VN-70-0
Vĩnh Phúc,VN-70,Lập Thạch,VN-70-1
Vĩnh Phúc,VN-70,Mê Linh,VN-70-2
Vĩnh Phúc,VN-70,Phúc Yên,VN-70-3
Vĩnh Phúc,VN-70,Tam Dao,VN-70-4
Vĩnh Phúc,VN-70,Tam Đảo,VN-70-5
Vĩnh Phúc,VN-70,Tam Đường,VN-70-6
Vĩnh Phúc,VN-70,Vĩnh Tường,VN-70-7
Vĩnh Phúc,VN-70,Vĩnh Yên,VN-70-8
Vĩnh Phúc,VN-70,Yên Lạc,VN-70-9
Yên Bái,VN-06,Lục Yên,VN-06-0
Yên Bái,VN-06,Mù Căng Trai,VN-06-1
Yên Bái,VN-06,Nghĩa Lộ,VN-06-2
Yên Bái,VN-06,Trấn Yên,VN-06-3
Yên Bái,VN-06,Trạm Tấu,VN-06-4
Yên Bái,VN-06,Văn Chấn,VN-06-5
Yên Bái,VN-06,Văn Yên,VN-06-6
Yên Bái,VN-06,Yên Bái,VN-06-7
Yên Bái,VN-06,Yên Bình,VN-06-8
Điện Biên,VN-71,Mường Chà,VN-71-0
Điện Biên,VN-71,Mường Lay,VN-71-1
Điện Biên,VN-71,Mường Nhé,VN-71-2
Điện Biên,VN-71,Tuần Giáo,VN-71-3
Điện Biên,VN-71,Tủa Chùa,VN-71-4
Điện Biên,VN-71,Điên Biên Phủ,VN-71-5
Điện Biên,VN-71,Điện Biên,VN-71-6
Điện Biên,VN-71,Điện Biên Đông,VN-71-7
Đà Nẵng,VN-DN,Cẩm Lệ,VN-DN-0
Đà Nẵng,VN-DN,Hoà Vang,VN-DN-1
Đà Nẵng,VN-DN,Hải Châu,VN-DN-2
Đà Nẵng,VN-DN,Liên Chiểu,VN-DN-3
Đà Nẵng,VN-DN,Ngũ Hành Sơn,VN-DN-4
Đà Nẵng,VN-DN,Sơn Trà,VN-DN-5
Đà Nẵng,VN-DN,Thanh Khê,VN-DN-6
Đắk Lắk,VN-33,Buon Ma Thuot,VN-33-0
Đắk Lắk,VN-33,Buôn Đôn,VN-33-1
Đắk Lắk,VN-33,Cư M'gar,VN-33-2
Đắk Lắk,VN-33,Ea H'leo,VN-33-3
Đắk Lắk,VN-33,Ea Kar,VN-33-4
Đắk Lắk,VN-33,Ea Súp,VN-33-5
Đắk Lắk,VN-33,Krông Ana,VN-33-6
Đắk Lắk,VN-33,Krông Buk,VN-33-7
Đắk Lắk,VN-33,Krông Bông,VN-33-8
Đắk Lắk,VN-33,Krông Năng,VN-33-9
Đắk Lắk,VN-33,Krông Pắk,VN-33-10
Đắk Lắk,VN-33,Lăk,VN-33-11
Đắk Lắk,VN-33,M'Đrăk,VN-33-12
Đắk Nông,VN-72,Cư Jút,VN-72-0
Đắk Nông,VN-72,Dak Song,VN-72-1
Đắk Nông,VN-72,Krông Nô,VN-72-2
Đắk Nông,VN-72,Tuy Đức,VN-72-3
Đắk Nông,VN-72,Đăk Glong,VN-72-4
Đắk Nông,VN-72,Đăk Mil,VN-72-5
Đắk Nông,VN-72,Đăk R'Lấp,VN-72-6
Đồng Nai,VN-39,Bien Hoa,VN-39-0
Đồng Nai,VN-39,Cẩm Mỹ,VN-39-1
Đồng Nai,VN-39,Long Khánh,VN-39-2
Đồng Nai,VN-39,Long Thành,VN-39-3
Đồng Nai,VN-39,Nhơn Trạch,VN-39-4
Đồng Nai,VN-39,Thống Nhất,VN-39-5
Đồng Nai,VN-39,Trảng Bom,VN-39-6
Đồng Nai,VN-39,Tân Phú,VN-39-7
Đồng Nai,VN-39,Vĩnh Cửu,VN-39-8
Đồng Nai,VN-39,Xuân Lộc,VN-39-9
Đồng Nai,VN-39,Định Quán,VN-39-10
Đồng Tháp,VN-45,Cao Lãnh,VN-45-0
Đồng Tháp,VN-45,Hồng Ngự,VN-45-1
Đồng Tháp,VN-45,Lai Vung,VN-45-2
Đồng Tháp,VN-45,Lấp Vò,VN-45-3
Đồng Tháp,VN-45,Sa Đéc,VN-45-4
Đồng Tháp,VN-45,Tam Nông,VN-45-5
Đồng Tháp,VN-45,Thanh Bình,VN-45-6
Đồng Tháp,VN-45,Tháp Mười,VN-45-7
Đồng Tháp,VN-45,Tân Hồng,VN-45-8
