BR-AC,Акри
BR-AL,Алагоас
BR-AM,Амазонас
BR-AP,Амапа
BR-BA,Баия
BR-GO,Гояс
BR-MA,Мараньян
BR-MT,Мату-Гросу
BR-MS,Мату-Гросу-ду-Сул
BR-MG,Минас-Жерайс
BR-PA,Пара
BR-PB,Параиба
BR-PR,Парана
BR-PE,Пернамбуку
BR-PI,Пиауи
BR-RJ,Рио-де-Жанейро
BR-RN,Риу-Гранди-ду-Норти
BR-RS,Риу-Гранди-ду-Сул
BR-RO,Рондония
BR-RR,Рорайма
BR-SC,Санта-Катарина
BR-SP,Сан-Паулу
BR-CE,Сеара
BR-SE,Сержипи
BR-TO,Токантинс
BR-DF,Федеральный округ (Бразилия)
BR-ES,Эспириту-Санту
