Code,en,zh,zh-tw,fr,de,ru,pt,es,ko,ja,ar
AU-WA,Western Australia,西澳大利亚州,西澳大利亚州,Australie-Occidentale,Western Australia,Западная Австралия,Western Australia,Australia Occidental,웨스턴오스트레일리아주,西オーストラリア州,
AU-ACT,Australian Capital Territory,澳大利亚首都特区,澳大利亚首都特区,Territoire de la capitale australienne,Australian Capital Territory,Австралийская столичная территория,Australian Capital Territory,Territorio de la capital australiana,오스트레일리아 수도 준주,オーストラリア首都特別地域,
AU-NSW,New South Wales,新南威尔士,新南威尔士,Nouvelle-Galles du Sud,New South Wales,Новый Южный Уэльс,New South Wales,Nueva Gales del Sur,뉴사우스웨일스주,ニューサウスウェールズ州,
AU-SA,South Australia,南澳大利亚州,南澳大利亚州,Australie-Méridionale,South Australia,Южная Австралия,South Australia,Australia Meridional,사우스오스트레일리아주,南オーストラリア州,
AU-TAS,Tasmania,塔斯曼尼亚,塔斯曼尼亚,Tasmanie,Tasmanien,Тасмания,Tasmania,Tasmania,태즈메이니아주,タスマニア州,
AU-QLD,Queensland,昆士兰州,昆士兰州,Queensland,Queensland,Квинсленд,Queensland,Queensland,퀸즐랜드주,クイーンズランド州,
AU-VIC,Victoria,维多利亚州,维多利亚州,Victoria,Victoria,Виктория,Victoria,Victoria,빅토리아주,ビクトリア州,
AU-NT,Northern Territory,北领地,北领地,Territoire du Nord,Northern Territory,Северная территория,Northern Territory,Territorio del Norte,노던 준주,ノーザンテリトリー,
