AU-NSW,Nouvelle-Galles du Sud
AU-QLD,Queensland
AU-SA,Australie-Méridionale
AU-TAS,Tasmanie
AU-VIC,Victoria
AU-WA,Australie-Occidentale
AU-ACT,Territoire de la capitale australienne
AU-NT,Territoire du Nord
