CN-AH,안후이성
CN-BJ,베이징시
CN-CQ,충칭시
CN-FJ,푸젠성
CN-GD,광둥성
CN-GS,간쑤성
CN-GX,광시 좡족 자치구
CN-GZ,구이저우성
CN-HA,허난성
CN-HB,후베이성
CN-HE,허베이성
CN-HI,하이난성
CN-HK,홍콩
CN-HL,헤이룽장성
CN-HN,후난성
CN-JL,지린성
CN-JS,장쑤성
CN-JX,장시성
CN-LN,랴오닝성
CN-MO,마카오
CN-NM,내몽골 자치구
CN-NX,닝샤 후이족 자치구
CN-QH,칭하이성
CN-SC,쓰촨성
CN-SD,산둥성
CN-SH,상하이시
CN-SN,산시성
CN-SX,산시성
CN-TJ,톈진시
CN-TW,타이완성
CN-XJ,신장 위구르 자치구
CN-XZ,티베트 자치구
CN-YN,윈난성
CN-ZJ,저장성
