CN-AH,安徽省
CN-BJ,北京市
CN-CQ,重慶市
CN-FJ,福建省
CN-GD,広東省
CN-GS,甘粛省
CN-GX,広西チワン族自治区
CN-GZ,貴州省
CN-HA,河南省
CN-HB,湖北省
CN-HE,河北省
CN-HI,海南省
CN-HK,香港
CN-HL,黒竜江省
CN-HN,湖南省
CN-JL,吉林省
CN-JS,江蘇省
CN-JX,江西省
CN-LN,遼寧省
CN-MO,マカオ
CN-NM,内モンゴル自治区
CN-NX,寧夏回族自治区
CN-QH,青海省
CN-SC,四川省
CN-SD,山東省
CN-SH,上海市
CN-SN,陝西省
CN-SX,山西省
CN-TJ,天津市
CN-TW,台湾省
CN-XJ,新疆ウイグル自治区
CN-XZ,チベット自治区
CN-YN,雲南省
CN-ZJ,浙江省
